id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
1163,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Nike Men Solid Blue Round Neck T-shirt
1525,Women,Apparel,Topwear,Kurtis,Red,Summer,2011,Ethnic,Biba Women Red Printed Cotton Kurti
1526,Women,Apparel,Bottomwear,Trousers,Black,Fall,2011,Casual,Park Avenue Women Black Trousers
1527,Men,Apparel,Topwear,Shirts,White,Spring,2012,Formal,Raymond Men White Formal Cotton Shirt
1528,Women,Apparel,Dress,Dresses,Midnight Blue,Summer,2012,Casual,FabAlley Women Navy Blue A-Line Dress
1529,Women,Apparel,Saree,Sarees,Emerald Green,All Season,2012,Ethnic,Fabindia Emerald Green Silk Saree
1530,Men,Apparel,Topwear,Blazers,Charcoal,Winter,2012,Formal,Louis Philippe Men Charcoal Slim Fit Blazer
1531,Women,Apparel,Loungewear,Nightdress,Pink,Summer,2013,Casual,Zivame Women Pink Satin Nightdress
1532,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013,Casual,Puma Men Brown Casual Shoes
1533,Women,Accessories,Watches,Watches,Gold,All Season,2013,Casual,Titan Women Gold Analogue Watch
1534,Unisex,Accessories,Sunglasses,Sunglasses,Black,Summer,2013,Casual,Ray-Ban Black Wayfarer Sunglasses
1535,Women,Accessories,Bags,Handbags,Red,Fall,2013,Casual,Lavie Women Red Leather Handbag
1536,Men,Accessories,Wallets,Wallets,Black,All Season,2013,Casual,Wildhorn Men Leather Wallet
1537,Men,Accessories,Belts,Belts,Brown,All Season,2013,Casual,Tommy Hilfiger Men Brown Belt
1538,Women,Accessories,Jewellery,Earrings,Gold,All Season,2013,Ethnic,Voylla Gold Plated Dangle Earrings
1539,Women,Personal Care,Cosmetics,Lipstick,Red,All Season,2013,Casual,Maybelline Red Velvet Lipstick
1540,Men,Personal Care,Perfumes,Perfume,Blue,All Season,2013,Casual,Davidoff Cool Water Eau De Toilette
1541,Men,Apparel,Topwear,Sherwani,Maroon,Winter,2014,Ethnic,Manyavar Men Maroon Embroidered Sherwani
1542,Women,Apparel,Bottomwear,Lehenga,Crimson,Winter,2014,Ethnic,Anita Dongre Crimson Zardozi Bridal Lehenga
